"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"643","信義區","房地(土地+建物)","臺北市信義區基隆路一段101巷1~30號",5.49,"商",NA,NA,10310,"土地2建物1車位0","四層",14,"套房(1房1廳1衛)","見使用執照","鋼筋混凝土造",910104,48.3,1,1,1,"有","有",13100000,271222,"",0,0
"644","松山區","房地(土地+建物)","臺北市松山區八德路四段421~450號",3.62,"商",NA,NA,10310,"土地1建物1車位0","十三層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",970205,36.52,1,1,1,"有","無",8910000,243976,"",0,0
"645","信義區","土地","永春段三小段301~330地號",100.78,"其他",NA,NA,10205,"土地2建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",34543000,342756,"",0,0
"646","松山區","房地(土地+建物)","臺北市松山區民權東路三段106巷3弄31~60號",7.58,"住",NA,NA,10309,"土地1建物1車位0","七層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",690205,39.69,4,2,2,"有","無",10000000,251953,"",0,0
"647","信義區","房地(土地+建物)","臺北市信義區莊敬路391~420號",13.11,"商",NA,NA,10309,"土地10建物1車位0","三層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",690628,88.12,3,2,2,"有","有",17330000,196664,"",0,0
"648","南港區","房地(土地+建物)+車位","臺北市南港區重陽路61~90號",11.3,"商",NA,NA,10309,"土地1建物1車位1","三層",7,"華廈(10層含以下有電梯)","見其他登記事項","鋼筋混凝土造",1000901,56.22,1,1,1,"有","有",11780000,209534,"塔式車位",11.51,0
"649","南港區","房地(土地+建物)","臺北市南港區玉成街42巷1~30號",33.29,"住",NA,NA,10309,"土地2建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,95.12,3,2,2,"有","無",8400000,88310,"",0,0
"650","信義區","房地(土地+建物)","臺北市信義區基隆路一段181~210號",15.43,"住",NA,NA,10310,"土地2建物1車位0","四層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",780824,85.16,3,2,2,"有","有",18000000,211367,"",0,0
"651","北投區","房地(土地+建物)","臺北市北投區文林北路271~300號",5.5,"住",NA,NA,10310,"土地1建物1車位0","三層",10,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",850228,30.37,0,0,0,"無","有",5750000,189332,"",0,0
"652","北投區","房地(土地+建物)+車位","臺北市北投區光明路211~240號",7.3,"其他",NA,NA,10310,"土地1建物1車位1","十一層",12,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",851218,77.49,0,0,0,"無","無",11250000,145180,"升降機械",0,0
"653","士林區","土地","富安段一小段301~330地號",701.53,"其他",NA,NA,10309,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",59249302,84457,"",0,0
"654","士林區","土地","富安段一小段301~330地號",233.84,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",19750698,84462,"",0,0
"655","北投區","房地(土地+建物)","臺北市北投區杏林一路1~30號",27,"住",NA,NA,10309,"土地1建物1車位0","一層",2,"公寓(5樓含以下無電梯)","住家用","加強磚造",600426,49.98,1,1,1,"有","無",7650000,153061,"",0,0
"656","士林區","房地(土地+建物)","臺北市士林區延平北路六段115巷16弄1~30號",36.28,"住",NA,NA,10308,"土地1建物1車位0","一層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",660615,109.83,3,2,1,"有","無",15660000,142584,"",0,0
"657","北投區","房地(土地+建物)","臺北市北投區榮華一路1~30號",10.98,"住",NA,NA,10310,"土地1建物1車位0","一層",5,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830909,50.43,2,1,1,"有","有",11700000,232005,"",0,0
"658","士林區","車位","臺北市士林區中山北路七段81巷1~30號",5.72,"住",NA,NA,10310,"土地0建物0車位1","地下三層",19,"其他","見使用執照","鋼筋混凝土造",811124,37.41,0,0,0,"有","有",2300000,NA,"坡道平面",47.13,2300000
"659","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",100.42,"住",NA,NA,10310,"土地1建物1車位6","十五層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,658.34,4,2,5,"有","無",190000000,381367,"坡道平面",208.38,18400000
"660","北投區","房地(土地+建物)","臺北市北投區明德路118巷1~30號",35.79,"住",NA,NA,10310,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",640310,88.51,3,2,2,"有","無",12048000,136120,"",0,0
"661","大安區","房地(土地+建物)+車位","臺北市大安區安和路二段181巷1~30號",20.29,"住",NA,NA,10309,"土地1建物1車位1","六層",10,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",980505,119.06,2,2,1,"有","有",32860000,275995,"塔式車位",12.89,0
"662","大安區","房地(土地+建物)","臺北市大安區光復南路240巷31~60號",26.74,"住",NA,NA,10309,"土地1建物1車位0","四層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",701204,145.55,4,2,2,"有","無",38750000,266232,"",0,0
"663","北投區","房地(土地+建物)","臺北市北投區建民路91~120號",30.62,"住",NA,NA,10309,"土地5建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700114,102.33,3,2,1,"有","無",16200000,158311,"",0,0
"664","北投區","房地(土地+建物)","臺北市北投區建民路91~120號",24.21,"住",NA,NA,10309,"土地5建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700114,73.9,3,1,2,"有","無",13000000,175913,"",0,0
"665","士林區","房地(土地+建物)+車位","臺北市士林區雨農路32巷1~30號",41.54,"住",NA,NA,10105,"土地1建物1車位1","二層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030819,217.04,3,2,2,"有","有",34880000,184763,"升降平面",38,1800000
"666","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",100.79,"住",NA,NA,10310,"土地1建物1車位6","十六層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,658.34,4,2,5,"有","無",198970000,402636,"坡道平面",208.38,17800000
"667","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",115.52,"住",NA,NA,10310,"土地1建物1車位6","八層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,729.92,4,2,5,"有","無",206400000,357020,"坡道平面",208.38,20200000
"668","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",115.14,"住",NA,NA,10310,"土地1建物1車位6","十三層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,729.92,4,2,5,"有","無",211450000,372838,"坡道平面",208.38,17000000
"669","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",115.52,"住",NA,NA,10310,"土地1建物1車位6","十五層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,729.92,4,2,5,"有","無",220750000,385685,"坡道平面",208.38,19600000
"670","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段61~90號",115.52,"住",NA,NA,10310,"土地1建物1車位6","十六層",19,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030811,729.92,4,2,5,"有","無",227880000,400506,"坡道平面",208.38,19000000
"671","士林區","房地(土地+建物)","臺北市士林區社中街210巷21弄1~30號",31.75,"住",NA,NA,10309,"土地2建物1車位0","四層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",650107,68.88,3,1,1,"有","無",6400000,92915,"",0,0
"672","士林區","房地(土地+建物)+車位","臺北市士林區雨農路32巷1~30號",41.54,"住",NA,NA,10105,"土地1建物1車位1","三層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030819,216.99,3,2,2,"有","有",35430000,187888,"升降平面",38,1800000
